alpha,communication_bytes,config_hash,device,downlink_bytes,final_accuracy,implementation_hash,rounds,run_id,seed,simulated_time,stats_severity,strategy,systems_severity,target_round,target_time,uplink_bytes,wasted_compute_fraction
0.2,45897600,e401eb37f2b21952,mps,22948800,0.9151,b260fd115707c9a4,20,async_vc_high_high_seed1,1,80.0,high,async_vc,high,20.0,80.0,22948800,0.09285714285714286
0.2,48028560,03ef954972152c0e,mps,24014280,0.903,b260fd115707c9a4,20,async_vc_high_high_seed2,2,80.0,high,async_vc,high,20.0,80.0,24014280,0.15358361774744028
100.0,45897600,402ed641542dae55,mps,22948800,0.9307,b260fd115707c9a4,20,async_vc_high_low_seed1,1,80.0,low,async_vc,high,12.0,48.0,22948800,0.09285714285714286
100.0,48028560,8f5bae28465c7f49,mps,24014280,0.9199,b260fd115707c9a4,20,async_vc_high_low_seed2,2,80.0,low,async_vc,high,16.0,64.0,24014280,0.15358361774744028
0.2,61470000,aff64fbdf635aa95,mps,30735000,0.8865,b260fd115707c9a4,20,async_vc_low_high_seed1,1,80.0,high,async_vc,low,,,30735000,0.048
0.2,63437040,1e47fc8f01278780,mps,31718520,0.8908,b260fd115707c9a4,20,async_vc_low_high_seed2,2,80.0,high,async_vc,low,,,31718520,0.04909560723514212
100.0,61470000,3352338f6a20030b,mps,30735000,0.8608,b260fd115707c9a4,20,async_vc_low_low_seed1,1,80.0,low,async_vc,low,,,30735000,0.048
100.0,63437040,22cd47e6eacb95f8,mps,31718520,0.797,b260fd115707c9a4,20,async_vc_low_low_seed2,2,80.0,low,async_vc,low,,,31718520,0.04909560723514212
0.2,27620520,a186db89d8a77e5a,mps,16392000,0.8965,b260fd115707c9a4,20,fedavg_sync_high_high_seed1,1,160.0,high,fedavg_sync,high,,,11228520,0.32116788321167883
0.2,27866400,3ea3b31f4ef3ee82,mps,16392000,0.7426,b260fd115707c9a4,20,fedavg_sync_high_high_seed2,2,158.37522875209694,high,fedavg_sync,high,,,11474400,0.4142857142857143
100.0,27620520,9ce4b3a7eaf62e55,mps,16392000,0.9074,b260fd115707c9a4,20,fedavg_sync_high_low_seed1,1,160.0,low,fedavg_sync,high,10.0,80.0,11228520,0.32116788321167883
100.0,27866400,2d2e59c1d0a9db93,mps,16392000,0.9188,b260fd115707c9a4,20,fedavg_sync_high_low_seed2,2,158.37522875209694,low,fedavg_sync,high,16.0,126.37522875209694,11474400,0.4142857142857143
0.2,31964400,283dc18d928f9dbe,mps,16392000,0.9081,b260fd115707c9a4,20,fedavg_sync_low_high_seed1,1,117.3815645455568,high,fedavg_sync,low,20.0,117.3815645455568,15572400,0.0
0.2,32128320,4a65ebc71c54008b,mps,16392000,0.9123,b260fd115707c9a4,20,fedavg_sync_low_high_seed2,2,119.11749210995453,high,fedavg_sync,low,20.0,119.11749210995453,15736320,0.0
100.0,31964400,4d11b7e3498e6e82,mps,16392000,0.9348,b260fd115707c9a4,20,fedavg_sync_low_low_seed1,1,117.3815645455568,low,fedavg_sync,low,10.0,59.164788208762715,15572400,0.0
100.0,32128320,627deebc8a9e07a4,mps,16392000,0.9237,b260fd115707c9a4,20,fedavg_sync_low_low_seed2,2,119.11749210995453,low,fedavg_sync,low,12.0,71.68996047844756,15736320,0.0
0.2,19911516,d26a337a3b3f3a8c,mps,16392000,0.8951,b260fd115707c9a4,20,upmf_high_high_seed1,1,80.0,high,upmf,high,,,3519516,0.03380281690140845
0.2,20108412,5546d71ddb11dacd,mps,16392000,0.7904,b260fd115707c9a4,20,upmf_high_high_seed2,2,80.0,high,upmf,high,,,3716412,0.07953063885267275
100.0,19911516,6a4c4b001947dcbb,mps,16392000,0.9217,b260fd115707c9a4,20,upmf_high_low_seed1,1,80.0,low,upmf,high,16.0,64.0,3519516,0.03380281690140845
100.0,20108412,bb983ae07cad7f8a,mps,16392000,0.8879,b260fd115707c9a4,20,upmf_high_low_seed2,2,80.0,low,upmf,high,,,3716412,0.07953063885267275
0.2,21068280,2da2c07102c26971,mps,16392000,0.8695,b260fd115707c9a4,20,upmf_low_high_seed1,1,80.0,high,upmf,low,,,4676280,0.04540540540540541
0.2,21240564,d5a886c355d0e3c5,mps,16392000,0.7434,b260fd115707c9a4,20,upmf_low_high_seed2,2,80.0,high,upmf,low,,,4848564,0.05410821643286573
100.0,21068280,a0db732ee1cdbb77,mps,16392000,0.8783,b260fd115707c9a4,20,upmf_low_low_seed1,1,80.0,low,upmf,low,,,4676280,0.04540540540540541
100.0,21240564,f7b3e35b6888d4dc,mps,16392000,0.8675,b260fd115707c9a4,20,upmf_low_low_seed2,2,80.0,low,upmf,low,,,4848564,0.05410821643286573
